,control,['state']
943,-12,Lane
944,-2,Lane
945,3,Lane
946,3,Lane
947,5,Lane
948,7,Lane
949,-1,Lane
950,-3,Lane
951,11,Lane
952,0,Lane
953,17,Lane
954,4,Lane
955,6,Lane
956,4,Lane
957,7,Lane
958,7,Lane
959,2,Lane
960,1,Lane
961,0,Lane
962,0,Lane
963,-5,Lane
964,-5,Lane
965,-5,Lane
966,-5,Lane
967,-5,Lane
968,-5,Lane
969,-6,Lane
970,-5,Lane
971,-6,Lane
972,-13,Lane
973,None,Lane
974,-5,Light
975,-1,Light
976,-2,Light
977,-2,Light
978,-1,Light
979,-3,Light
980,-3,Light
981,-4,Light
982,-3,Light
983,-3,Light
984,-3,Light
985,-3,Light
986,-3,Light
987,-4,Light
988,-2,Light
989,-4,Light
990,-4,Light
991,-4,Light
992,-4,Light
993,-4,Light
994,-4,Light
995,-3,Light
996,-4,Light
997,-4,Light
998,-4,Light
999,-2,Light
1000,-3,Light
1001,-4,Light
1002,-4,Light
1003,-4,Light
1004,-4,Light
1005,-2,Light
1006,-3,Light
1007,-4,Light
1008,-3,Light
1009,-4,Light
1010,-2,Light
1011,-4,Light
1012,-3,Light
1013,-3,Light
1014,-5,Light
1015,-5,Light
1016,-3,Light
1017,-4,Light
1018,-2,Light
1019,-3,Light
1020,-3,Light
1021,-3,Light
1022,-2,Light
1023,-1,Light
1024,-1,Light
1025,27,Light
1026,12,Light
1027,16,Light
1028,15,Light
1029,14,Light
1030,15,Light
1031,15,Light
1032,16,Light
1033,16,Light
1034,17,Light
1035,20,Light
1036,21,Light
1037,29,Light
1038,56,Light
1039,85,Light
1040,86,Light
1041,83,Light
1042,33,Light
1043,-24,Light
1044,-55,Light
1045,-54,Light
1046,-57,Light
1047,-57,Light
1048,-55,Light
1049,-56,Light
1050,-59,Light
1051,-53,Light
1052,-58,Light
1053,-56,Light
1054,-65,Light
1055,22,Light
1056,473,Light
1057,None,Light
1058,None,Light
1059,None,Light
1060,None,Light
1061,None,Light
1062,None,Light
1063,3,Lane
1064,6,Lane
1065,16,Lane
1066,3,Lane
1067,-1,Lane
1068,8,Lane
1069,1,Lane
1070,1,Lane
1071,1,Lane
1072,1,Lane
1073,1,Lane
1074,19,Lane
1075,None,Lane
1076,None,Lane
1077,78,Light
1078,78,Light
1079,76,Light
1080,73,Light
1081,36,Light
1082,6,Light
1083,-47,Light
1084,-46,Light
1085,-16,Light
1086,-15,Light
1087,-6,Light
1088,-7,Light
1089,-6,Light
1090,-7,Light
1091,-6,Light
1092,-5,Light
1093,-6,Light
1094,-6,Light
1095,-7,Light
1096,-5,Light
1097,-5,Light
1098,-6,Light
1099,-5,Light
1100,-6,Light
1101,-6,Light
1102,-6,Light
1103,-5,Light
1104,6,Light
1105,90,Light
1106,-2,Light
1107,467,Light
1108,None,Light
1109,None,Light
1110,None,Light
1111,None,Light
1112,None,Light
1113,None,Light
1114,2,Lane
1115,2,Lane
1116,2,Lane
1117,2,Lane
1118,-1,Lane
1119,-1,Lane
1120,-3,Lane
1121,-5,Lane
1122,-5,Lane
1123,-5,Lane
1124,-6,Lane
1125,-9,Light
1126,1,Light
1127,-6,Light
1128,-5,Light
1129,-13,Light
1130,20,Light
1131,27,Light
1132,32,Light
1133,29,Light
1134,32,Light
1135,-5,Light
1136,33,Light
1137,-9,Light
1138,-11,Light
1139,-17,Light
1140,-18,Light
1141,-16,Light
1142,-17,Light
1143,-20,Light
